% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1013	1	1	1	0	28	2196	0	1	0
1028	1	1	1	0	28	2196	0	1	0
1048	1	1	1	0	28	2196	0	1	0
1056	1	1	1	0	28	2196	0	1	0
1057	1	1	1	0	28	2196	0	1	0
1068	1	1	1	0	28	2196	0	1	0
1083	1	1	1	0	28	2196	0	1	0
1103	1	1	1	0	28	2196	0	1	0
1118	1	1	1	0	28	2196	0	1	0
1138	1	1	1	0	28	2196	0	1	0
1158	1	1	1	0	28	2196	0	1	0
1173	1	1	1	0	28	2196	0	1	0
1193	1	1	1	0	28	2196	0	1	0
1208	1	1	1	0	28	2196	0	1	0
1228	1	1	1	0	28	2196	0	1	0
1229	1	1	1	0	28	2196	0	1	0
1243	1	1	1	0	28	2196	0	1	0
1263	1	1	1	0	28	2196	0	1	0
1264	1	1	1	0	28	2196	0	1	0
1265	1	1	1	0	28	2196	0	1	0
1278	1	1	1	0	28	2196	0	1	0
1298	1	1	1	0	28	2196	0	1	0
1299	1	1	1	0	28	2196	0	1	0
1300	1	1	1	0	28	2196	0	1	0
1301	1	1	1	0	28	2196	0	1	0
1313	1	1	1	0	28	2196	0	1	0
1333	1	1	1	0	28	2196	0	1	0
1334	1	1	1	0	28	2196	0	1	0
1335	1	1	1	0	28	2196	0	1	0
1336	1	1	1	0	28	2196	0	1	0
1337	1	1	1	0	28	2196	0	1	0
1348	1	1	1	0	28	2196	0	1	0
1368	1	1	1	0	28	2196	0	1	0
1369	1	1	1	0	28	2196	0	1	0
1370	1	1	1	0	28	2196	0	1	0
1371	1	1	1	0	28	2196	0	1	0
1372	1	1	1	0	28	2196	0	1	0
1373	1	1	1	0	28	2196	0	1	0
1374	1	1	1	0	28	2196	0	1	0
1375	1	1	1	0	28	2196	0	1	0
1383	1	1	1	0	28	2196	0	1	0
1384	1	1	1	0	28	2196	0	1	0
1385	1	1	1	0	28	2196	0	1	0
1386	1	1	1	0	28	2196	0	1	0
1387	1	1	1	0	28	2196	0	1	0
1388	1	1	1	0	28	2196	0	1	0
1389	1	1	1	0	28	2196	0	1	0
1390	1	1	1	0	28	2196	0	1	0
1395	1	1	1	0	28	2196	0	1	0
1396	1	1	1	0	28	2196	0	1	0
1397	1	1	1	0	28	2196	0	1	0
1398	1	1	1	0	28	2196	0	1	0
1399	1	1	1	0	28	2196	0	1	0
1400	1	1	1	0	28	2196	0	1	0
1401	1	1	1	0	28	2196	0	1	0
1402	1	1	1	0	28	2196	0	1	0
1407	1	1	1	0	28	2196	0	1	0
1408	1	1	1	0	28	2196	0	1	0
1409	1	1	1	0	28	2196	0	1	0
1410	1	1	1	0	28	2196	0	1	0
1411	1	1	1	0	28	2196	0	1	0
1412	1	1	1	0	28	2196	0	1	0
1413	1	1	1	0	28	2196	0	1	0
1414	1	1	1	0	28	2196	0	1	0
1415	1	1	1	0	28	2196	0	1	0
1416	1	1	1	0	28	2196	0	1	0
1417	1	1	1	0	28	2196	0	1	0
1418	1	1	1	0	28	2196	0	1	0
1421	1	1	1	0	28	2196	0	1	0
1424	1	1	1	0	28	2196	0	1	0
1425	1	1	1	0	28	2196	0	1	0
1426	1	1	1	0	28	2196	0	1	0
1427	1	1	1	0	28	2196	0	1	0
1428	1	1	1	0	28	2196	0	1	0
1429	1	1	1	0	28	2196	0	1	0
1430	1	1	1	0	28	2196	0	1	0
1433	1	1	1	0	28	2196	0	1	0
1436	1	1	1	0	28	2196	0	1	0
1437	1	1	1	0	28	2196	0	1	0
1445	1	1	1	0	28	2196	0	1	0
1465	1	1	1	0	28	2196	0	1	0
1466	1	1	1	0	28	2196	0	1	0
1467	1	1	1	0	28	2196	0	1	0
1468	1	1	1	0	28	2196	0	1	0
1469	1	1	1	0	28	2196	0	1	0
1470	1	1	1	0	28	2196	0	1	0
1471	1	1	1	0	28	2196	0	1	0
1472	1	1	1	0	28	2196	0	1	0
1473	1	1	1	0	28	2196	0	1	0
1474	1	1	1	0	28	2196	0	1	0
1475	1	1	1	0	28	2196	0	1	0
1476	1	1	1	0	28	2196	0	1	0
1477	1	1	1	0	28	2196	0	1	0
1478	1	1	1	0	28	2196	0	1	0
1480	1	1	1	0	28	2196	0	1	0
1481	1	1	1	0	28	2196	0	1	0
1482	1	1	1	0	28	2196	0	1	0
1483	1	1	1	0	28	2196	0	1	0
1484	1	1	1	0	28	2196	0	1	0
1485	1	1	1	0	28	2196	0	1	0
1486	1	1	1	0	28	2196	0	1	0
1487	1	1	1	0	28	2196	0	1	0
1488	1	1	1	0	28	2196	0	1	0
1493	1	1	1	0	28	2196	0	1	0
1494	1	1	1	0	28	2196	0	1	0
1495	1	1	1	0	28	2196	0	1	0
1496	1	1	1	0	28	2196	0	1	0
1497	1	1	1	0	28	2196	0	1	0
1498	1	1	1	0	28	2196	0	1	0
1499	1	1	1	0	28	2196	0	1	0
1500	1	1	1	0	28	2196	0	1	0
1501	1	1	1	0	28	2196	0	1	0
1505	1	1	1	0	28	2196	0	1	0
1506	1	1	1	0	28	2196	0	1	0
1507	1	1	1	0	28	2196	0	1	0
1508	1	1	1	0	28	2196	0	1	0
1509	1	1	1	0	28	2196	0	1	0
1510	1	1	1	0	28	2196	0	1	0
1511	1	1	1	0	28	2196	0	1	0
1512	1	1	1	0	28	2196	0	1	0
1513	1	1	1	0	28	2196	0	1	0
1514	1	1	1	0	28	2196	0	1	0
1515	1	1	1	0	28	2196	0	1	0
1516	1	1	1	0	28	2196	0	1	0
1517	1	1	1	0	28	2196	0	1	0
1518	1	1	1	0	28	2196	0	1	0
1519	1	1	1	0	28	2196	0	1	0
1520	1	1	1	0	28	2196	0	1	0
1521	1	1	1	0	28	2196	0	1	0
1522	1	1	1	0	28	2196	0	1	0
1523	1	1	1	0	28	2196	0	1	0
1524	1	1	1	0	28	2196	0	1	0
1525	1	1	1	0	28	2196	0	1	0
1526	1	1	1	0	28	2196	0	1	0
1527	1	1	1	0	28	2196	0	1	0
1528	1	1	1	0	28	2196	0	1	0
1529	1	1	1	0	28	2196	0	1	0
1530	1	1	1	0	28	2196	0	1	0
1531	1	1	1	0	28	2196	0	1	0
1532	1	1	1	0	28	2196	0	1	0
