% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1013	1	1	1	0	0	28	2196	0	1	1	0
1068	1	1	1	0	0	28	2196	0	1	1	0
1083	1	1	1	0	0	28	2196	0	1	1	0
1103	1	1	1	0	0	28	2196	0	1	1	0
1118	1	1	1	0	0	28	2196	0	1	1	0
1158	1	1	1	0	0	28	2196	0	1	1	0
1173	1	1	1	0	0	28	2196	0	1	1	0
1193	1	1	1	0	0	28	2196	0	1	1	0
1208	1	1	1	0	0	28	2196	0	1	1	0
1228	1	1	1	0	0	28	2196	0	1	1	0
1229	1	1	1	0	0	28	2196	0	1	1	0
1243	1	1	1	0	0	28	2196	0	1	1	0
1263	1	1	1	0	0	28	2196	0	1	1	0
1264	1	1	1	0	0	28	2196	0	1	1	0
1265	1	1	1	0	0	28	2196	0	1	1	0
1278	1	1	1	0	0	28	2196	0	1	1	0
1298	1	1	1	0	0	28	2196	0	1	1	0
1299	1	1	1	0	0	28	2196	0	1	1	0
1300	1	1	1	0	0	28	2196	0	1	1	0
1301	1	1	1	0	0	28	2196	0	1	1	0
1313	1	1	1	0	0	28	2196	0	1	1	0
1333	1	1	1	0	0	28	2196	0	1	1	0
1334	1	1	1	0	0	28	2196	0	1	1	0
1335	1	1	1	0	0	28	2196	0	1	1	0
1336	1	1	1	0	0	28	2196	0	1	1	0
1337	1	1	1	0	0	28	2196	0	1	1	0
1348	1	1	1	0	0	28	2196	0	1	1	0
1368	1	1	1	0	0	28	2196	0	1	1	0
1370	1	1	1	0	0	28	2196	0	1	1	0
1372	1	1	1	0	0	28	2196	0	1	1	0
1373	1	1	1	0	0	28	2196	0	1	1	0
1374	1	1	1	0	0	28	2196	0	1	1	0
1375	1	1	1	0	0	28	2196	0	1	1	0
1395	1	1	1	0	0	28	2196	0	1	1	0
1407	1	1	1	0	0	28	2196	0	1	1	0
1408	1	1	1	0	0	28	2196	0	1	1	0
1410	1	1	1	0	0	28	2196	0	1	1	0
1411	1	1	1	0	0	28	2196	0	1	1	0
1430	1	1	1	0	0	28	2196	0	1	1	0
1433	1	1	1	0	0	28	2196	0	1	1	0
1436	1	1	1	0	0	28	2196	0	1	1	0
1437	1	1	1	0	0	28	2196	0	1	1	0
1445	1	1	1	0	0	28	2196	0	1	1	0
1465	1	1	1	0	0	28	2196	0	1	1	0
1466	1	1	1	0	0	28	2196	0	1	1	0
1467	1	1	1	0	0	28	2196	0	1	1	0
1468	1	1	1	0	0	28	2196	0	1	1	0
1469	1	1	1	0	0	28	2196	0	1	1	0
1470	1	1	1	0	0	28	2196	0	1	1	0
1471	1	1	1	0	0	28	2196	0	1	1	0
1472	1	1	1	0	0	28	2196	0	1	1	0
1473	1	1	1	0	0	28	2196	0	1	1	0
1474	1	1	1	0	0	28	2196	0	1	1	0
1475	1	1	1	0	0	28	2196	0	1	1	0
1476	1	1	1	0	0	28	2196	0	1	1	0
1477	1	1	1	0	0	28	2196	0	1	1	0
1478	1	1	1	0	0	28	2196	0	1	1	0
1480	1	1	1	0	0	28	2196	0	1	1	0
1493	1	1	1	0	0	28	2196	0	1	1	0
1498	1	1	1	0	0	28	2196	0	1	1	0
1499	1	1	1	0	0	28	2196	0	1	1	0
1500	1	1	1	0	0	28	2196	0	1	1	0
1501	1	1	1	0	0	28	2196	0	1	1	0
1505	1	1	1	0	0	28	2196	0	1	1	0
1506	1	1	1	0	0	28	2196	0	1	1	0
1507	1	1	1	0	0	28	2196	0	1	1	0
1508	1	1	1	0	0	28	2196	0	1	1	0
1509	1	1	1	0	0	28	2196	0	1	1	0
1510	1	1	1	0	0	28	2196	0	1	1	0
1511	1	1	1	0	0	28	2196	0	1	1	0
1512	1	1	1	0	0	28	2196	0	1	1	0
1513	1	1	1	0	0	28	2196	0	1	1	0
1514	1	1	1	0	0	28	2196	0	1	1	0
